"V1","V2","V3","V4","V5","V6","V7","V8"
270,2612,8.98333333333333,2.95,42.8193629586764,37.4734733561304,19,116
271,2612,9.01666666666667,2.95,42.4149673531217,37.2264074127294,19,116
272,2612,9.05,2.95,41.9599440601828,36.9405264000241,19,116
273,2612,9.08333333333333,2.95,41.6720452117925,36.6837768419576,19,116
274,2612,9.11666666666667,2.95,41.7720471238379,36.5898554757532,19,116
275,2612,9.15,2.95,42.3086136661471,36.6452043983914,19,116
276,2612,9.18333333333333,2.95,43.1169636781773,36.6631210884583,19,116
277,2612,9.21666666666667,2.95,43.6138255968815,36.3171313637002,19,116
278,2612,9.25,2.95,43.0206605118665,35.1810235868682,19,116
279,2612,9.28333333333333,2.95,40.5792226557887,32.8015505293492,19,116
280,2612,9.31666666666667,2.95,35.830946731411,28.8469262956811,19,116
281,2612,9.35,2.95,28.9354446487413,23.4342074572791,19,116
282,2612,9.38333333333333,2.95,20.7805886186435,17.1846439272921,19,116
283,2612,9.41666666666667,2.95,12.5098365838527,10.8145958205509,19,116
284,2612,9.45,2.95,5.1768505096135,4.8610717021398,19,116
285,2612,9.48333333333333,2.95,-0.666050403559701,-0.3952752995365,19,116
286,2612,9.51666666666667,2.95,-5.4349726552648,-5.0097218853123,19,116
287,2612,9.55,2.95,-9.8408255233239,-9.194014843109,19,116
288,2612,9.58333333333333,2.95,-14.2148692103461,-13.1288681464082,19,116
289,2612,9.61666666666667,2.95,-18.5076960692399,-16.8175970121321,19,116
290,2612,9.65,2.95,-22.125907087471,-19.9689559099445,19,116
291,2612,9.68333333333333,2.95,-24.284182596571,-22.189835575281,19,116
292,2612,9.71666666666667,2.95,-24.9208189086383,-23.366642471332,19,116
293,2612,9.75,2.95,-24.3805214236822,-23.5501009331131,19,116
294,2612,9.78333333333333,2.95,-22.7321276203588,-22.6214076815678,19,116
295,2612,9.81666666666667,2.95,-20.2739231577113,-20.7635441933854,19,116
296,2612,9.85,2.95,-17.6673752522665,-18.6282199917464,19,116
297,2612,9.88333333333333,2.95,-15.3826788669199,-16.6184046889062,19,116
298,2612,9.91666666666667,2.95,-13.3786588458034,-14.7452201721346,19,116
299,2612,9.95,2.95,-11.5539853703973,-13.0351472538653,19,116
300,2612,9.98333333333333,2.95,-9.86194589135656,-11.4463116452707,19,116
301,2612,10.0166666666667,2.95,-8.40904273896335,-10.1086277699704,19,116
302,2612,10.05,2.95,-7.57469786760437,-9.31048767595627,19,116
303,2612,10.0833333333333,2.95,-7.3377338162524,-8.758731962263,19,116
304,2612,10.1166666666667,2.95,-6.7052942081418,-7.8044494483052,19,116
305,2612,10.15,2.95,-5.0447209809515,-6.2408791327568,19,116
306,2612,10.1833333333333,2.95,-3.7373232938018,-4.574911385467,19,116
307,2612,10.2166666666667,2.95,-2.7853921278894,-2.9749151010884,19,116
308,2612,10.25,2.95,-0.823678002142294,-0.788305398088603,19,116
309,2612,10.2833333333333,2.95,2.4131341279482,2.6873367816838,19,116
310,2612,10.3166666666667,2.95,7.068079317757,7.308139140813,19,116
311,2612,10.35,2.95,12.9949403794899,12.3271722682692,19,116
312,2612,10.3833333333333,2.95,18.9782853333165,17.8709238623274,19,116
313,2612,10.4166666666667,2.95,25.4255001824396,24.7449694370847,19,116
314,2612,10.45,2.95,33.633414124061,33.228085338277,19,116
315,2612,10.4833333333333,2.95,42.477568493459,42.381934608927,19,116
316,2612,10.5166666666667,2.95,50.401809065307,50.835026855203,19,116
317,2612,10.55,2.95,56.887493070491,57.726373883377,19,116
318,2612,10.5833333333333,2.95,61.212069898394,62.239112721825,19,116
319,2612,10.6166666666667,2.95,63.013183779009,64.269893374892,19,116
320,2612,10.65,2.95,63.825728234243,65.312396522279,19,116
321,2612,10.6833333333333,2.95,64.632221895134,66.385286413365,19,116
322,2612,10.7166666666667,2.95,65.568713834383,67.614260021839,19,116
323,2612,10.75,2.95,66.412117594012,68.744512777859,19,116
324,2612,10.7833333333333,2.95,99999,67.871015203612,19,116
325,2612,10.8166666666667,2.95,99999,64.680556595669,19,116
326,2612,10.85,2.95,99999,61.584630081687,19,116
327,2612,10.8833333333333,2.95,99999,60.438829587019,19,116
328,2612,10.9166666666667,2.95,99999,60.78243259974,19,116
329,2612,10.95,2.95,99999,60.703188030159,19,116
330,2612,10.9833333333333,2.95,99999,59.240428269718,19,116
331,2612,11.0166666666667,2.95,99999,55.97643896418,19,116
332,2612,11.05,2.95,99999,50.744786048401,19,116
333,2612,11.0833333333333,2.95,99999,43.741573156322,19,116
334,2612,11.1166666666667,2.95,99999,35.514469119699,19,116
335,2612,11.15,2.95,99999,27.241851113009,19,116
336,2612,11.1833333333333,2.95,99999,20.131004707635,19,116
337,2612,11.2166666666667,2.95,99999,14.374571476684,19,116
338,2612,11.25,2.95,99999,9.905864931103,19,116
339,2612,11.2833333333333,2.95,99999,7.92959051647199,19,116
340,2612,11.3166666666667,2.95,99999,8.708562322505,19,116
341,2612,11.35,2.95,99999,10.409044775211,19,116
342,2612,11.3833333333333,2.95,99999,11.773166338515,19,116
343,2612,11.4166666666667,2.95,99999,12.932602131001,19,116
344,2612,11.45,2.95,99999,14.270114927686,19,116
345,2612,11.4833333333333,2.95,99999,16.129782356902,19,116
346,2612,11.5166666666667,2.95,99999,17.810308083498,19,116
347,2612,11.55,2.95,99999,18.071731251434,19,116
348,2612,11.5833333333333,2.95,99999,17.193107495776,19,116
349,2612,11.6166666666667,2.95,99999,16.112208251377,19,116
350,2612,11.65,2.95,99999,14.926240058155,19,116
351,2612,11.6833333333333,2.95,99999,12.897969217661,19,116
352,2612,11.7166666666667,2.95,99999,9.48816027138997,19,116
353,2612,11.75,2.95,99999,4.78839116729699,19,116
354,2612,11.7833333333333,2.95,99999,-1.12159052935698,19,116
355,2612,11.8166666666667,2.95,99999,-8.55866079819299,19,116
356,2612,11.85,2.95,99999,-17.729586796941,19,116
357,2612,11.8833333333333,2.95,99999,-28.019715979543,19,116
358,2612,11.9166666666667,2.95,99999,-38.760285953471,19,116
359,2612,11.95,2.95,99999,-49.844998278959,19,116
360,2612,11.9833333333333,2.95,99999,-61.494902372849,19,116
361,2612,12.0166666666667,2.95,99999,-73.679245608556,19,116
362,2612,12.05,2.95,99999,-86.091372445198,19,116
363,2612,12.0833333333333,2.95,99999,-98.852303626392,19,116
364,2612,12.1166666666667,2.95,99999,-112.272973740862,19,116
365,2612,12.15,2.95,99999,-126.213578694116,19,116
366,2612,12.1833333333333,2.95,99999,-140.091955533009,19,116
367,2612,12.2166666666667,2.95,99999,-152.705886722157,19,116
368,2612,12.25,2.95,99999,-162.034345054935,19,116
369,2612,12.2833333333333,2.95,99999,-166.457902496764,19,116
370,2612,12.3166666666667,2.95,99999,-166.591743403681,19,116
371,2612,12.35,2.95,99999,-164.875815058367,19,116
372,2612,12.3833333333333,2.95,99999,-163.255455834309,19,116
373,2612,12.4166666666667,2.95,99999,-162.389072730221,19,116
374,2612,12.45,2.95,99999,-162.053111025754,19,116
375,2612,12.4833333333333,2.95,99999,-160.96657822804,19,116
376,2612,12.5166666666667,2.95,99999,-157.481056849222,19,116
377,2612,12.55,2.95,99999,-151.454943346577,19,116
378,2612,12.5833333333333,2.95,99999,-144.494667236896,19,116
379,2612,12.6166666666667,2.95,99999,-138.184117773009,19,116
380,2612,12.65,2.95,99999,-133.347368321911,19,116
381,2612,12.6833333333333,2.95,99999,-130.600854111937,19,116
382,2612,12.7166666666667,2.95,99999,-130.778698822208,19,116
383,2612,12.75,2.95,99999,-135.325821485382,19,116
384,2612,12.7833333333333,2.95,99999,-145.695899334178,19,116
385,2612,12.8166666666667,2.95,99999,-162.13536711199,19,116
386,2612,12.85,2.95,99999,-183.874523667201,19,116
387,2612,12.8833333333333,2.95,99999,-209.809561426009,19,116
388,2612,12.9166666666667,2.95,99999,-237.96686439176,19,116
389,2612,12.95,2.95,99999,-262.577248841322,19,116
390,2612,12.9833333333333,2.95,99999,-273.574469863393,19,116
391,2612,13.0166666666667,2.95,99999,-265.974375832495,19,116
392,2612,13.05,2.95,99999,-246.610418303069,19,116
393,2612,13.0833333333333,2.95,99999,-225.401829348944,19,116
394,2612,13.1166666666667,2.95,99999,-206.38441488796,19,116
395,2612,13.15,2.95,99999,-190.158088455267,19,116
396,2612,13.1833333333333,2.95,99999,-177.069627383348,19,116
397,2612,13.2166666666667,2.95,99999,-166.327006251406,19,116
398,2612,13.25,2.95,99999,-156.306018667116,19,116
399,2612,13.2833333333333,2.95,99999,-146.059776944295,19,116
400,2612,13.3166666666667,2.95,99999,-136.278637279151,19,116
401,2612,13.35,2.95,99999,-128.067998830392,19,116
402,2612,13.3833333333333,2.95,99999,-120.95030238926,19,116
403,2612,13.4166666666667,2.95,99999,-113.65712613403,19,116
404,2612,13.45,2.95,99999,-105.576695624069,19,116
405,2612,13.4833333333333,2.95,99999,-96.7848272764335,19,116
406,2612,13.5166666666667,2.95,99999,-86.4176150875857,19,116
407,2612,13.55,2.95,99999,-73.167843244478,19,116
408,2612,13.5833333333333,2.95,99999,-58.800336646685,19,116
409,2612,13.6166666666667,2.95,99999,-46.198385551361,19,116
410,2612,13.65,2.95,99999,-35.402266264099,19,116
411,2612,13.6833333333333,2.95,99999,-25.244063190647,19,116
412,2612,13.7166666666667,2.95,99999,-14.779032304628,19,116
413,2612,13.75,2.95,99999,-4.053288715185,19,116
414,2612,13.7833333333333,2.95,99999,4.76540769264201,19,116
415,2612,13.8166666666667,2.95,99999,10.635140175767,19,116
416,2612,13.85,2.95,99999,15.727346271061,19,116
417,2612,13.8833333333333,2.95,99999,22.578486090309,19,116
418,2612,13.9166666666667,2.95,99999,29.88531660514,19,116
419,2612,13.95,2.95,99999,34.155158319056,19,116
